Collection Date,App Name,App Developer,App Category,App Best Rank,App Download,App Review Count,App Charge,App Limit
2021-07-05 20:30,오딘: 발할라 라이징,Kakao Games Corp.,롤플레잉,1,"500,000+","60,391",,18세 이상
2021-07-05 20:30,리니지M,NCSOFT,롤플레잉,2,"1,000,000+","82,478",,만 18세 이상
2021-07-05 20:30,리니지2M,NCSOFT,롤플레잉,3,"1,000,000+","83,319",,18세 이상
2021-07-05 20:30,제2의 나라: CROSS WORLDS,Netmarble,롤플레잉,4,"1,000,000+","61,449",,12세 이상
2021-07-05 20:30,기적의 검,4399 KOREA,롤플레잉,5,"1,000,000+","213,818",,18세 이상
2021-07-05 20:30,원신,miHoYo Limited,어드벤처,6,"10,000,000+","1,685,048",,15세 이상
2021-07-05 20:30,쿠키런: 킹덤,Devsisters Corporation,롤플레잉,7,"5,000,000+","346,538",,전체이용가
2021-07-05 20:30,바람의나라: 연,NEXON Company,롤플레잉,8,"1,000,000+","58,679",,12세 이상
2021-07-05 20:30,삼국지 전략판,Qookka Games,전략,9,"500,000+","25,684",,전체이용가
2021-07-05 20:30,블레이드&소울 레볼루션,Netmarble,롤플레잉,10,"1,000,000+","133,651",,15세 이상
2021-07-05 20:30,뮤 아크엔젤,Webzen Inc.,롤플레잉,11,"500,000+","28,519",,15세 이상
2021-07-05 20:30,세븐나이츠2,Netmarble,롤플레잉,12,"1,000,000+","60,244",,15세 이상
2021-07-05 20:30,라이즈 오브 킹덤즈,LilithGames,전략,13,"1,000,000+","95,554",,전체이용가
2021-07-05 20:30,V4,NEXON Company,롤플레잉,14,"1,000,000+","43,027",,18세 이상
2021-07-05 20:30,백야극광,PROXIMA BETA,롤플레잉,15,"500,000+","66,490",,전체이용가
2021-07-05 20:30,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노,16,"5,000,000+","174,046",,만 18세 이상
2021-07-05 20:30,R2M,Webzen Inc.,롤플레잉,17,"500,000+","6,633",,18세 이상
2021-07-05 20:30,천상나르샤,Eyougame Inc.,롤플레잉,18,"100,000+","3,948",,15세 이상
2021-07-05 20:30,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,스포츠,19,"1,000,000+","33,506",,만 3세 이상
2021-07-05 20:30,트릭스터M,NCSOFT,롤플레잉,20,"500,000+","26,900",,18세 이상
2021-07-05 20:30,브롤스타즈,Supercell,액션,21,"100,000,000+","18,599,443",,만 7세 이상
2021-07-05 20:30,ROBLOX,Roblox Corporation,어드벤처,22,"100,000,000+","22,531,104",,전체이용가
2021-07-05 20:30,A3: 스틸얼라이브,Netmarble,롤플레잉,23,"1,000,000+","35,338",,12세 이상
2021-07-05 20:30,에픽세븐,Smilegate Megaport,롤플레잉,24,"5,000,000+","322,118",,만 12세 이상
2021-07-05 20:30,리니지2 레볼루션,Netmarble,롤플레잉,25,"5,000,000+","300,524",,15세 이상
2021-07-05 20:30,파이널기어,BILIBILI,액션,26,"500,000+","9,366",,12세 이상
2021-07-05 20:30,한게임 포커,NHN BIGFOOT,카지노,27,"1,000,000+","63,408",,만 18세 이상
2021-07-05 20:30,서머너즈 워: 천공의 아레나,Com2uS,롤플레잉,28,"50,000,000+","2,307,883",,만 12세 이상
2021-07-05 20:30,FIFA Mobile,NEXON Company,스포츠,29,"1,000,000+","48,504",,전체이용가
2021-07-05 20:30,컴투스프로야구2021,Com2uS,스포츠,30,"5,000,000+","191,870",,만 3세 이상
2021-07-05 20:30,가디언 테일즈,Kakao Games Corp.,롤플레잉,31,"1,000,000+","76,199",,12세 이상
2021-07-05 20:30,엠파이어 & 퍼즐 (Empires & Puzzles),Small Giant Games,퍼즐,32,"50,000,000+","2,121,884",,만 7세 이상
2021-07-05 20:30,한게임포커 클래식 with PC,NHN Corp.,카지노,33,"100,000+","2,683",,18세 이상
2021-07-05 20:30,배틀그라운드,"KRAFTON, Inc.",액션,34,"10,000,000+","1,089,862",,15세 이상
2021-07-05 20:30,메이플스토리M,NEXON Company,롤플레잉,35,"5,000,000+","121,793",,만 3세 이상
2021-07-05 20:30,클래시 오브 클랜,Supercell,전략,36,"500,000,000+","56,221,403",,만 7세 이상
2021-07-05 20:30,미르4,"Wemade Co., Ltd",롤플레잉,37,"100,000+","11,242",,18세 이상
2021-07-05 20:30,킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉,38,"100,000+","3,171",,18세 이상
2021-07-05 20:30,건쉽배틀 토탈워페어,JOYCITY Corp.,전략,39,"5,000,000+","85,834",,12세 이상
2021-07-05 20:30,원펀맨: 최강의 남자,GAMENOW TECHNOLOGY,롤플레잉,40,"1,000,000+","38,783",,12세 이상
2021-07-05 20:30,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드,41,"10,000,000+","901,698",,만 3세 이상
2021-07-05 20:30,소녀X헌터,Sincetimes Inc.,롤플레잉,42,"100,000+","3,100",,18세 이상
2021-07-05 20:30,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,전략,43,"1,000,000+","77,171",,12세 이상
2021-07-05 20:30,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략,44,"5,000,000+","505,817",,전체이용가
2021-07-05 20:30,꿈의 정원 (Gardenscapes),Playrix,캐주얼 게임,45,"100,000,000+","10,783,211",,만 3세 이상
2021-07-05 20:30,페이트/그랜드 오더,Netmarble,롤플레잉,46,"500,000+","50,444",,12세 이상
2021-07-05 20:30,리니지M(12),NCSOFT,롤플레잉,47,"1,000,000+","53,860",,12세 이상
2021-07-05 20:30,AFK 아레나,LilithGames,롤플레잉,48,"1,000,000+","320,673",,12세 이상
2021-07-05 20:30,그랑사가,NPIXEL,롤플레잉,49,"1,000,000+","67,298",,12세 이상
2021-07-05 20:30,MLB 9이닝스 21,Com2uS,스포츠,50,"10,000,000+","176,004",,만 3세 이상
2021-07-05 20:30,그랑삼국,YOUZU(SINGAPORE)PTE.LTD.,롤플레잉,51,"500,000+","12,301",,12세 이상
2021-07-05 20:30,에이지 오브 제트: 타워 디펜스,Camel Games Limited,전략,52,"10,000,000+","366,010",,만 7세 이상
2021-07-05 20:30,블라스트M,Longtu Korea Inc.,롤플레잉,53,"100,000+","1,430",,12세 이상
2021-07-05 20:30,로드 모바일: 타워 디펜스,IGG.COM,전략,54,"100,000,000+","6,714,050",,전체이용가
2021-07-05 20:30,꿈의 집 (Homescapes),Playrix,캐주얼 게임,55,"100,000,000+","10,278,085",,전체이용가
2021-07-05 20:30,프로야구 H3,NCSOFT,스포츠,56,"500,000+","9,670",,전체이용가
2021-07-05 20:30,프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉,57,"1,000,000+","25,807",,12세 이상
2021-07-05 20:30,갑부: 장사의 시대,BLANCOZONE NETWORK KOREA,시뮬레이션,58,"500,000+","18,384",,15세 이상
2021-07-05 20:30,검은사막 모바일,PEARL ABYSS,롤플레잉,59,"1,000,000+","209,083",,만 12세 이상
2021-07-05 20:30,데카론M,THUMBAGE,롤플레잉,60,"100,000+","8,302",,18세 이상
2021-07-05 20:30,Top War: Battle Game,Topwar Studio,전략,61,"10,000,000+","430,357",,12세 이상
2021-07-05 20:30,궁3D,WISH INTERACTIVE TECHNOLOGY LIMITED,롤플레잉,62,"500,000+","9,220",,12세 이상
2021-07-05 20:30,라그나로크 오리진,"GRAVITY Co., Ltd.",롤플레잉,63,"500,000+","29,874",,18세 이상
2021-07-05 20:30,카트라이더 러쉬플러스,NEXON Company,자동차 경주,64,"10,000,000+","390,498",,전체이용가
2021-07-05 20:30,신명2:아수라,Trigirls Studio,롤플레잉,65,"100,000+","8,425",,12세 이상
2021-07-05 20:30,뮤오리진2,Webzen Inc.,롤플레잉,66,"500,000+","39,125",,만 18세 이상
2021-07-05 20:30,검은강호2: 선미 원픽 MMORPG,9SplayDeveloper,롤플레잉,67,"500,000+","6,370",,12세 이상
2021-07-05 20:30,황제라 칭하라,"Clicktouch Co., Ltd.",롤플레잉,68,"1,000,000+","7,537",,12세 이상
2021-07-05 20:30,냥코 대전쟁,PONOS Corporation,캐주얼 게임,69,"5,000,000+","181,787",,만 3세 이상
2021-07-05 20:30,히어로즈 테일즈,37 Mobile Games,롤플레잉,70,"100,000+","1,732",,12세 이상
2021-07-05 20:30,로드 오브 히어로즈,CloverGames,롤플레잉,71,"1,000,000+","158,144",,전체이용가
2021-07-05 20:30,킹 오브 파이터 올스타,Netmarble,액션,72,"1,000,000+","42,225",,12세 이상
2021-07-05 20:30,사신키우기 온라인 : 시즌2 무한의성장,DAERISOFT,시뮬레이션,73,"500,000+","27,134",,전체이용가
2021-07-05 20:30,마구마구 2021,Netmarble,스포츠,74,"500,000+","31,414",,전체이용가
2021-07-05 20:30,캔디크러쉬사가,King,캐주얼 게임,75,"1,000,000,000+","31,608,955",,만 3세 이상
2021-07-05 20:30,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카드,76,"10,000,000+","329,567",,만 18세 이상
2021-07-05 20:30,eFootball PES 2021,KONAMI,스포츠,77,"100,000,000+","7,111,760",,만 3세 이상
2021-07-05 20:30,케페우스M,Ujoy Games,롤플레잉,78,"500,000+","18,342",,12세 이상
2021-07-05 20:30,한게임 섯다,NHN BIGFOOT,카드,79,"1,000,000+","27,280",,만 18세 이상
2021-07-05 20:30,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,전략,80,"50,000,000+","1,863,410",,18세 이상
2021-07-05 20:30,Yu-Gi-Oh! Duel Links,KONAMI,카드,81,"50,000,000+","2,123,912",,만 12세 이상
2021-07-05 20:30,관우 키우기 - 국산 삼국지 방치형 RPG,mobirix,시뮬레이션,82,"100,000+","9,075",,12세 이상
2021-07-05 20:30,애니팡3,SUNDAYTOZ Corp.,퍼즐,83,"5,000,000+","199,782",,만 3세 이상
2021-07-05 20:30,라이즈 오브 엠파이어,Long Tech Network Limited,전략,84,"10,000,000+","1,045,609",,만 12세 이상
2021-07-05 20:30,마피아 시티,YottaGame,전략,85,"50,000,000+","1,012,802",,18세 이상
2021-07-05 20:30,랑그릿사,ZlongGames,전략,86,"500,000+","57,273",,12세 이상
2021-07-05 20:30,달토끼 키우기,AbleGames,시뮬레이션,87,"5,000+",148,,전체이용가
2021-07-05 20:30,Pokémon GO,"Niantic, Inc.",어드벤처,88,"100,000,000+","14,607,541",,전체이용가
2021-07-05 20:30,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카드,89,"1,000,000+","111,479",,만 18세 이상
2021-07-05 20:30,MARVEL 퓨처파이트,Netmarble,롤플레잉,90,"50,000,000+","2,884,098",,12세 이상
2021-07-05 20:30,아르카 - 2주년 이벤트 진행 중,GAMELAND(HK),롤플레잉,91,"1,000,000+","10,075",,18세 이상
2021-07-05 20:30,DK모바일: 영웅의귀환,NTRANCE Corp,롤플레잉,92,"100,000+","6,373",,18세 이상
2021-07-05 20:30,찐삼국,ICEBIRD GAMES,롤플레잉,93,"500,000+","53,559",,12세 이상
2021-07-05 20:30,X2: 이클립스,Netease Games Global,롤플레잉,94,"50,000+","1,612",,12세 이상
2021-07-05 20:30,던전기사 키우기: 3D 방치형 RPG,mobirix,시뮬레이션,95,"500,000+","28,320",,12세 이상
2021-07-05 20:30,앙상블스타즈!!,HappyElements,음악,96,"100,000+","5,946",,12세 이상
2021-07-05 20:30,세븐나이츠,Netmarble,롤플레잉,97,"10,000,000+","936,487",,전체이용가
2021-07-05 20:30,파이널삼국지2,Gamepub,롤플레잉,98,"500,000+","5,286",,12세 이상
2021-07-05 20:30,피쉬돔 (Fishdom),Playrix,퍼즐,99,"100,000,000+","4,953,640",,만 3세 이상
2021-07-05 20:30,Hero Wars,NEXTERS GLOBAL LTD,롤플레잉,100,"50,000,000+","1,375,506",,12세 이상
